name,age,gender,score
Bob,18,Female,84
Alice,21,Female,81
Alice,19,Male,79
Charlie,25,Male,97
nan,19,Female,81
Alice,18,Male,68
Alice,27,Male,63
Charlie,23,Male,74
David,23,nan,66
Emma,25,nan,90
Emma,29,nan,64
Alice,22,Male,77
Bob,19,nan,96
David,19,nan,83
Alice,26,nan,72
David,29,nan,68
Emma,29,nan,84
Alice,18,nan,96
Charlie,28,nan,87
Bob,28,nan,96
Emma,28,Male,77
Alice,21,nan,66
Emma,19,nan,66
nan,29,Male,81
Alice,25,Female,67
Alice,29,Female,86
Bob,27,Male,72
Emma,24,Male,60
nan,23,nan,76
Alice,23,Female,63
Alice,28,Female,67
nan,22,Female,70
Bob,22,Female,65
Charlie,22,Male,95
Alice,26,nan,66
Bob,29,Male,72
Emma,21,Female,70
Charlie,20,Male,95
Alice,26,Male,99
Charlie,27,Female,79
Alice,26,Male,82
Bob,21,nan,83
David,22,Female,71
Charlie,23,nan,68
Emma,18,Male,74
nan,28,Male,75
Charlie,19,Male,89
Emma,20,Female,93
nan,22,Female,74
Charlie,25,Male,70
David,18,Male,83
nan,27,Female,85
Emma,20,nan,72
nan,27,Female,99
David,18,Male,72
Emma,23,Male,79
Alice,26,nan,81
David,20,Male,94
Bob,19,Male,99
Charlie,29,nan,96
David,20,nan,84
Alice,18,Female,85
Charlie,18,Female,80
Charlie,22,nan,82
Charlie,24,Male,60
nan,25,Female,91
Emma,24,nan,64
Charlie,25,Female,68
nan,29,Female,76
nan,22,Male,81
David,25,Male,68
Bob,23,Male,77
Charlie,20,Male,98
Charlie,19,Male,62
Charlie,24,Female,94
Emma,25,nan,81
nan,25,Female,69
Bob,27,Male,81
David,22,Male,84
Alice,22,Female,64
Emma,22,Male,70
Emma,21,Female,87
nan,26,Female,98
Alice,18,Male,71
Bob,21,nan,87
Bob,21,nan,87
nan,29,Female,87
nan,29,Male,86
Alice,28,Female,95
Bob,22,Female,78
David,21,nan,75
Bob,29,Male,87
Alice,22,Male,86
Emma,22,Male,67
Bob,27,nan,86
Alice,19,nan,92
Bob,28,Male,70
Emma,22,nan,97
David,28,nan,86
Charlie,29,Male,99
Alice,21,Male,86
nan,22,Female,70
David,23,Male,72
Emma,27,Female,63
David,21,Female,85
nan,22,nan,68
Charlie,26,Female,60
nan,21,Female,83
Alice,18,nan,78
Charlie,24,nan,63
nan,20,nan,82
Alice,27,Male,96
Emma,26,Male,94
Bob,20,Female,61
Alice,18,Female,87
Bob,21,nan,67
Bob,27,Male,83
Bob,27,nan,78
Charlie,18,nan,76
David,22,nan,84
Alice,24,Male,97
Emma,29,Female,75
Bob,23,Female,74
Charlie,19,nan,61
Bob,21,Male,82
Alice,21,Male,68
Emma,25,nan,89
Emma,29,Male,66
nan,24,nan,91
Bob,24,Male,93
Charlie,20,Female,83
nan,23,Female,75
Bob,24,Male,67
Bob,23,nan,96
Alice,20,nan,89
David,24,Male,90
nan,18,Female,90
Charlie,18,nan,90
Bob,19,nan,92
Alice,29,nan,97
Emma,20,nan,96
David,25,Male,93
Alice,26,Female,93
Charlie,20,nan,69
Bob,28,Female,80
Bob,28,Male,62
Emma,21,Male,84
Bob,20,Female,63
Charlie,29,Male,88
nan,27,nan,86
Charlie,19,nan,83
David,23,Male,78
David,21,nan,76
Bob,25,Female,97
Bob,24,Female,66
Bob,25,nan,87
David,18,nan,67
Charlie,18,nan,89
Alice,28,nan,86
Alice,25,Male,83
David,28,nan,78
Bob,29,nan,74
Emma,20,Female,67
David,18,nan,66
Alice,28,Female,73
Alice,24,Male,87
Bob,22,Female,74
nan,24,Female,84
Emma,21,Male,84
Alice,24,Female,72
Alice,18,Male,92
David,24,Male,84
Charlie,21,nan,91
nan,22,nan,87
Charlie,28,Male,76
nan,18,nan,67
Alice,24,nan,63
Charlie,27,Female,79
nan,21,Female,61
Charlie,19,Female,98
Bob,20,Male,96
Emma,21,nan,73
David,18,Female,77
David,25,Female,69
Bob,18,Male,67
Emma,23,nan,78
David,21,Male,73
nan,28,nan,83
David,27,nan,71
nan,29,nan,64
Emma,26,Male,64
Charlie,26,Female,89
Alice,27,Female,97
Emma,29,nan,92
Bob,25,Male,70
Charlie,23,Male,72
Bob,28,nan,78
Charlie,20,Male,68
Emma,26,Male,74
nan,28,Female,84
Bob,25,nan,78
Emma,23,nan,91
nan,27,nan,90
Emma,20,Female,95
Bob,27,Female,74
Emma,27,Female,71
Bob,19,Male,81
Alice,29,Female,93
Emma,29,nan,62
nan,29,nan,68
Emma,26,Female,67
Alice,20,Female,94
David,23,nan,65
Emma,21,Female,99
Charlie,27,Female,63
Charlie,29,Male,73
Emma,21,Male,75
David,22,Male,92
nan,29,nan,71
David,23,nan,77
nan,26,Male,60
Charlie,19,Female,69
Emma,19,Male,67
nan,29,nan,99
Charlie,18,nan,89
Charlie,25,Female,77
Bob,20,Male,81
Bob,25,nan,77
Bob,22,Male,71
David,29,Female,61
nan,22,nan,63
David,22,Female,83
Bob,18,Female,68
Bob,28,Male,67
David,18,Male,94
Emma,29,Male,67
David,23,nan,90
Alice,26,Male,69
nan,27,nan,65
David,25,Male,64
David,24,Female,70
David,19,nan,67
Emma,22,Male,73
Alice,26,nan,64
Bob,23,Male,60
Emma,26,Male,70
nan,22,nan,96
nan,19,nan,85
Bob,21,Male,73
David,29,nan,87
David,28,Female,82
David,26,nan,78
nan,26,Male,84
Bob,22,Male,68
Emma,22,Male,66
nan,28,nan,92
David,19,Male,93
nan,27,nan,96
Charlie,27,Male,95
Alice,19,nan,79
Alice,29,Female,81
Emma,21,Female,67
nan,19,Male,92
Charlie,22,Male,91
nan,22,Male,98
Emma,23,Female,87
Emma,19,Female,80
Charlie,24,nan,97
Emma,22,nan,67
Charlie,19,Male,69
Charlie,26,nan,70
nan,21,nan,94
Charlie,20,Male,68
Alice,22,Male,83
Charlie,22,Male,79
nan,22,Female,93
Alice,28,Male,84
nan,21,nan,99
nan,19,Female,81
Charlie,20,nan,76
Bob,29,Male,93
Emma,26,Male,89
Emma,28,Female,87
nan,23,nan,93
Emma,19,nan,89
Emma,28,Female,64
David,29,nan,61
David,18,nan,86
nan,24,Male,76
Alice,27,nan,84
Charlie,20,Female,69
Charlie,19,nan,80
Emma,24,Female,65
Charlie,21,nan,78
Bob,25,nan,82
Alice,24,nan,98
Charlie,20,nan,65
Alice,27,nan,83
Alice,20,Female,80
Emma,20,Female,76
Charlie,19,Male,61
Charlie,27,Male,73
Alice,19,Female,93
Bob,21,Female,75
David,19,Male,95
Charlie,19,Male,67
nan,24,nan,74
Bob,22,nan,84
Charlie,27,nan,91
Charlie,22,Female,84
David,23,nan,83
David,29,Female,77
David,25,Male,64
nan,26,nan,65
nan,22,nan,83
Bob,27,nan,71
Alice,18,Female,63
nan,24,Female,92
nan,25,Male,60
David,28,nan,74
David,26,Male,65
nan,24,Female,96
Alice,20,nan,83
Charlie,23,nan,96
David,24,Female,82
David,25,nan,66
nan,29,Female,73
Bob,18,Female,71
Bob,22,nan,87
David,18,nan,84
David,21,Male,72
Charlie,21,Female,87
Alice,24,nan,62
David,24,Female,87
David,26,Female,71
Emma,25,Male,75
nan,19,nan,72
Alice,26,nan,92
Emma,21,nan,71
Charlie,29,Male,93
Alice,18,nan,69
Alice,22,nan,98
Emma,25,Female,68
Emma,24,nan,85
Alice,18,nan,64
David,28,Female,60
Alice,19,nan,66
Emma,25,Male,75
Charlie,19,Male,79
Bob,23,Male,66
David,28,Female,90
Alice,28,Female,99
Alice,18,Male,80
Bob,18,nan,97
David,24,nan,90
David,22,nan,93
Alice,27,nan,65
Charlie,26,Female,69
Alice,28,Male,85
Bob,24,Female,65
Emma,21,Female,72
Charlie,26,Female,84
Alice,23,Female,95
Charlie,18,nan,74
Bob,18,nan,97
Bob,29,Male,85
David,18,nan,60
Charlie,22,Male,84
nan,23,Male,67
Charlie,19,nan,95
Charlie,27,Female,69
Emma,19,Female,85
Bob,24,nan,65
Charlie,22,Male,67
Charlie,19,nan,99
Alice,27,nan,90
Charlie,21,nan,69
Emma,25,nan,84
Bob,28,nan,76
Charlie,21,Male,88
Emma,23,nan,80
David,19,nan,76
nan,29,nan,81
Bob,18,nan,66
Bob,20,Female,62
Emma,28,nan,85
Bob,25,Male,95
Emma,29,nan,86
Emma,19,Male,66
Emma,25,nan,63
David,20,Male,63
Charlie,26,nan,70
Alice,29,Male,90
nan,18,nan,77
Bob,25,Female,95
Emma,19,Female,71
Emma,27,Male,68
Charlie,28,Female,69
nan,27,Female,91
nan,28,Male,92
Bob,22,Male,75
Alice,25,Male,69
Alice,26,Female,94
Alice,18,Male,73
Bob,18,Female,61
Charlie,19,nan,98
Charlie,23,Male,85
Bob,27,Female,77
Alice,18,Male,93
nan,25,Male,79
David,28,Male,63
Charlie,25,nan,62
Charlie,28,Male,84
Alice,18,Female,89
Alice,23,Male,74
Bob,22,nan,61
Bob,27,Female,85
Charlie,28,Male,90
Alice,18,Male,84
Emma,22,Female,65
Bob,24,Female,62
Bob,29,Female,98
Charlie,24,Female,96
Alice,21,Male,97
Bob,25,nan,80
Emma,24,Male,90
Emma,26,Male,85
Charlie,28,Female,97
Emma,23,Male,70
Alice,25,Female,79
Emma,22,Male,94
Emma,22,Female,62
Bob,24,nan,70
Alice,18,nan,96
Emma,22,Female,75
nan,27,Female,81
Emma,24,Male,62
Alice,28,Female,81
Alice,27,Female,90
nan,21,Female,66
Emma,25,nan,68
Bob,27,nan,72
Bob,22,Female,92
Alice,26,nan,70
Alice,27,Male,67
nan,29,nan,75
Charlie,21,Male,77
Charlie,24,nan,64
Emma,23,Female,67
David,21,nan,69
David,23,Female,95
nan,27,Male,79
Bob,29,Male,75
Emma,22,Male,90
Charlie,25,nan,61
David,28,Female,74
Charlie,25,Female,60
Alice,20,nan,79
David,26,nan,68
nan,18,Male,64
David,28,Female,60
Emma,22,Male,60
Alice,29,nan,90
Emma,18,Male,89
Charlie,26,Female,69
Charlie,24,nan,65
Emma,21,Female,64
